airports,distance
mad-dxb,5649
mad-sfo,9330
mad-cdg,1063
mad-pvg,10268
mad-gru,8379
mad-syd,17672
mad-jfk,5761
mad-cpt,8586
mad-hnl,12647
mad-bom,7518
mad-svo,3419
mad-osl,2413
mad-cai,3351
mad-lim,9527
dxb-sfo,13020
dxb-cdg,5239
dxb-pvg,6449
dxb-gru,12217
dxb-syd,12044
dxb-jfk,11001
dxb-cpt,7644
dxb-hnl,13712
dxb-bom,1927
dxb-svo,3712
dxb-osl,5138
dxb-cai,2416
dxb-lim,14826
sfo-cdg,8962
sfo-pvg,9877
sfo-gru,10427
sfo-syd,11950
sfo-jfk,4152
sfo-cpt,16497
sfo-hnl,3857
sfo-bom,13511
sfo-svo,9434
sfo-osl,8340
sfo-cai,12004
sfo-lim,7259
cdg-pvg,9266
cdg-gru,9405
cdg-syd,16944
cdg-jfk,5834
cdg-cpt,9363
cdg-hnl,11958
cdg-bom,6994
cdg-svo,2454
cdg-osl,1358
cdg-cai,3211
cdg-lim,10276
pvg-gru,18575
pvg-syd,7866
pvg-jfk,11874
pvg-cpt,12989
pvg-hnl,7914
pvg-bom,5064
pvg-svo,6851
pvg-osl,8077
pvg-cai,8369
pvg-lim,17135
gru-syd,13367
gru-jfk,7664
gru-cpt,6352
gru-hnl,13032
gru-bom,13755
gru-svo,11782
gru-osl,10649
gru-cai,10217
gru-lim,3475
syd-jfk,16013
syd-cpt,10989
syd-hnl,8171
syd-bom,10159
syd-svo,14514
syd-osl,15923
syd-cai,14403
syd-lim,12794
jfk-cpt,12560
jfk-hnl,8007
jfk-bom,12532
jfk-svo,7481
jfk-osl,5918
jfk-cai,9017
jfk-lim,5866
cpt-hnl,18568
cpt-bom,8233
cpt-svo,10159
cpt-osl,10493
cpt-cai,7252
cpt-lim,9781
hnl-bom,12893
hnl-svo,11300
hnl-osl,10897
hnl-cai,14209
hnl-lim,9562
bom-svo,5052
bom-osl,6628
bom-cai,4342
bom-lim,16710
svo-osl,1605
svo-cai,2913
svo-lim,12628
osl-cai,3670
osl-lim,11067
cai-lim,12444
